Nielsen SKU Name,Year,PPG Name,Retailer,DATE,Level,Activity name,Mechanic,"Discount, NRV %",Weeknum,TE Off Inv,TE On Inv,COGS,GMAC,PPG,List Price Nov 2019 Price per PC,List Price July 2020 Price per PC,List_Price
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-05-02,NA,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,18,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-05-09,NA,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,19,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-05-16,NA,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,20,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-05-23,NA,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,21,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-05-30,NA,21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE_21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,22,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-06-06,NA,21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,23,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-06-13,NA,21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,24,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-06-20,NA,21_Twix EBA + FC Salted Caramel LE,Single price off % discount,0.25,25,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-06-27,NA,21_Twix EBA + FC Salted Caramel LE_Tactical Promo,Single price off % discount,0.25,26,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-07-04,NA,Tactical Promo,Single price off % discount,0.25,27,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
MARS(MARS) MINIS CARML&NGT 1KG,2021,Loose,Magnit,2021-07-11,NA,Tactical Promo,Single price off % discount,0.25,28,0.05,0.2436,91.91894448461233,0.8140662659809121,Loose,452.01,494.364,494.364
