Date,wk_sold_avg_price_byppg,wk_base_price_perunit_byppg,Promo,TE,List_Price,Promotion_Cost,COGS,tpr_discount_byppg,median_baseprice,flag_promo_under1,flag_promo_under2,flag_children_protection_day,trend_year,tpr_discount_byppg_train,Catalogue_Dist,ACV_Selling,SI,ITEM5006_Lenta_PromotedDiscount,ITEM5006_Lenta_RegularPrice,flag_christmas_day_new,QC,wk_sold_median_base_price_byppg_log,Baseline_Prediction,Baseline_Sales,Baseline_GSV,Baseline_Trade_Expense,Baseline_NSV,Baseline_MAC,Baseline_RP
2021-10-10,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,1.013377336060051,0.0,3.2961429861401768,0,-9,3.3344482204390498,191171.47351347381,4023618.657911526,3907544.918615405,1884042.320235011,2023502.598380394,1086603.068603111,2000116.059531132
2021-10-17,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,0.9939443554172048,0.0,3.2961429861401768,0,-34,3.3344482204390498,106040.51679063501,2975803.826877326,2167468.1632005796,670918.0952371075,1496550.067963472,976863.1685920348,1479253.7589138537
2021-10-24,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.6,1.022675827207316,5.731478024956827,3.2961429861401768,0,-19,3.3344482204390498,102910.40986128272,2887963.966597388,2103488.7775646187,651113.9162073522,1452374.8613572665,948028.0943620966,1435589.1052401215
2021-10-31,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.044601993083796,9.83720489139872,3.2961429861401768,0,0,3.3344482204390498,100987.44178227014,2833999.916424125,2064183.3100296017,638947.3017865629,1425236.0082430388,930313.3873084297,1408763.9081810862
2021-11-07,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.010469771426408,6.359918399378072,3.2961429861401768,0,-14,3.3344482204390498,101895.06852302823,2859470.54982227,2082735.200610697,644689.8539970352,1438045.3466136619,938674.5982937209,1421425.203208608
2021-11-14,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.008520965398652,0.0,3.2961429861401768,0,-33,3.3344482204390498,106440.2783372864,2987022.2929539517,2175639.289214134,673447.3855833431,1502191.9036307912,980545.8395461399,1484830.3893231605
2021-11-21,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,99.59839357429718,1.029241273742237,6.080446502856606,3.2961429861401768,0,-18,3.3344482204390498,102962.59785051315,2889428.512629124,2104555.500064489,651444.1094899619,1453111.390574527,948508.858942137,1436317.122054597
2021-11-28,28.062894419429448,28.062894419429448,28.062894419429448,6.3269976,20.44,0.0,4.900833333333335,0.0,28.062894419429448,0,0,0,3,0.0,0.0,100.0,1.038866576656901,7.099044784010823,3.2961429861401768,0,0,3.3344482204390498,102964.87011868636,2889492.2790509616,2104601.9452259494,651458.4861252403,1453143.459100709,948529.7914607135,1436348.8199502525
2021-12-05,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,1.131459272836175,0.0,3.2961429861401768,0,12,3.3344482204390498,201628.2682511389,4243704.602928082,4121281.80305328,1987096.6277511544,2134185.1753021255,1146038.6373146686,2109519.427625957
2021-12-12,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,1.147562970306972,0.0,3.2961429861401768,0,-6,3.3344482204390498,203097.97811708134,4274637.837524434,4151322.672713143,2001580.9832620057,2149741.689451137,1154392.3483623406,2124896.1480732965
2021-12-19,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,1.437217847165719,0.0,3.2961429861401768,0,-6,3.3344482204390498,231440.509682779,4871167.940705074,4730644.017916003,2280903.6664582905,2449740.3514577127,1315488.986920693,2421427.5892473613
2021-12-26,21.047170814572084,28.062894419429448,21.047170814572084,9.855248200000002,20.44,3.7139480000000002,4.900833333333335,25.000000000000007,28.062894419429448,0,0,0,3,25.000000000000007,0.8031578947368422,100.0,0.943241840727218,0.0,3.2961429861401768,0,3,3.3344482204390498,185219.14358985866,3898338.9532645093,3785879.2949767113,1825380.6314694965,1960498.6635072147,1052770.510630582,1937840.2897572946
